ID - Ahrens,SHA stream code,Ahrens Sub-Area,0,River,Revised based on Region input 2013 - Runtiming,Stock assessment,Assessment details,Ron 2013 - productivity,Ron's comments 2013,Watershed Map Code - AHRENS,WSC from SHA,New WSC from SHA,WB_ID from SHA,Stream Order,MPM Comments 2013,Wild Stock Trend,Wild Stock Status,Classification 2005,Classification status 2013,Recent Escapements 1,Smolt Capacity 2,Anandromous Length (km),Bank Full Width (m),Bank Full Depth (m),Bank Full Discharge (m3/s),Mean River Gradient (%),Watershed Area (km2),Mean Watershed Elevation (m),Proportion Wetland,Proportion Alpine,Productivity,Productivity Type,Habitat Comments,Habitat Restoration To Date,Special Habitat Protection Requirements,Steelhead Objectives and Strategies,Notes,Angling Regulations,
296,,West Vancouver Island,1,Atleo River,Winter,"yes - sporadic, historic","sporadic stock assessment work - juveniles, limited adult snorkel surveys","low productivity, huge forest impacts",,930403700,,,,3,Very small habitat base / population,,Conservation Concern,Wild,wild,,899,4.40424,13.71318,0.9733,43.62589,10,29.27,360,0,0,,,,,,,,,
8,,South Coast,1,Atwaykellesse River (Wakeman Watershed),Winter,,,,,90069280015800,,,,4,,In Decline,Extreme Conservation Concern,Wild,wild,<50,1197,3.7847,28.37662,1.39065,117.5493,13,187.6,921.3004,0.00516,0.39818,Very Low,Natural,Moderate to steep gradient with extensive riffle cascade sections.  Extensive logging throughout the lower watershed.  Baseflow alkalinity low at 4 mg/L and predicted biomass or capacity per steelhead size class is 70 g/Unit., No known habitat restoration efforts have been made to date,Improve logging practices to minimize impacts on the stream.,Conduct a biophysical inventory/habitat capability assessment including Kippan Creek.,"Inorganic nutrient addition may be considered, although watershed size/base flows may make this option impractical for the mainstem below Kippan Creek (too expensive).  A biophysical assessment of Kippan Creek may show this major tributary to be an excellent candidate for nutrient addition.  The mainland coast streams appeared to fair better than east coast Vancouver Island streams in the period 1997 through 2000 possibly due to a higher proportion of maiden ocean age 3 spawners and geographic location on the east side of Johnstone Strait.   Assessments in 2000, 2001 and 2002 showed precipitous declines in adult returns placing many stocks in the Conservation / special concern zones.",Catch & release of wild steelhead.,
299,,West Vancouver Island,1,Battle Bay River,Winter,,,,,930739000,,,,3,Very small habitat base / population,,Conservation Concern,Wild,wild,,1203,5.16042,20.37103,1.17503,73.6152,12,33.85,292,0,0,,,,,,,,,
86,008,West Vancouver Island,1,Bedwell River,Winter/Summer,yes - historic 1-offs for FRBC,,,,930355300,930-3553-000-000-000-000-000-000-000-000-000-000,930-355300-00000-00000-0000-0000-000-000-000-000-000-000,319553,5,,In Decline,Conservation Concern,Wild,wild,"50-100 WR, <50 SR",2045,6.41983,32.46424,1.49427,143.5206,15,209.81,768.4301,0.00067,0.17287,Low 18.3 mg/l Alk,Natural,Ursus creek has 11 km of suitable habitat with confined banks and no logging since 1965. Steelhead fry present in Thunderbird Cr with a cascade possibly separating SR and WR steelhead. 15 m falls at 7 km on Bedwell and a gradient > 8% on Ursus Cr. past 11 km.,, Improve logging practices through strict application of good forest practices - particular emphasis should be placed on cut blocks on steep slopes in headwater reaches.,Recover wild stocks and maintain catch and release wild fishery over fishable length. Update the previous assessments to identify steelhead production and constraints  - a better estimate of current steelhead run size and habitat capacities is required.,,"Wild Steelhead Release, Bait Ban, Single Barbless
Hook",
,009,,1,Benson River,,yes - historic,"sporadic juvenile and adult work, IPP-related concerns now (part of Marble R. System)",,,,930-8652-426-000-000-000-000-000-000-000-000-000,930-865200-42600-00000-0000-0000-000-000-000-000-000-000,324657,,,,,,,,,,,,,,,,,,,,,,,,,,
22,010,East Vancouver Island,1,Big Qualicum River,Winter,"yes - DFO continuing, ongoing data collection status unknown","DFO adult, smolt, juvenile density work, creel surveys, first flow control system to provide fish flows - failure, part of Georgia Basin STHD recovery program", relatively productive. Limited by length and alteration by DFO to make into spawning channel,,920490700,920-4907-000-000-000-000-000-000-000-000-000-000,920-490700-00000-00000-0000-0000-000-000-000-000-000-000,307464,3,,Relatively Stable at Low level,Extreme Conservation Concern,Augmented,wild,50 -100,1836,24.52783,23.19186,1.25344,88.0835,11,147.6,422,0.00233,0.01842,Moderate,Natural,"This system is unique in that it is a long-standing flow regulation, hatchery and spawning channel project built by DFO (beginning circa 1958) solely for the purpose of salmon enhancement. The absence of winter freshets has, however, resulted in impacts in terms of natural stream flushing processes. DFO cleans part of the stream using heavy equipment in the summer months.  Baseflow alkalinity moderate at 38 mg/L and predicted capacity per steelhead size class is 225 g/Unit.",Numerous channel improvement projects.  Diversion of Hunt's Creek to reduce siltation.,Urban development on the FN reserve and along watershed boundaries requires adequate protection buffers.,Rebuild naturally-spawning stocks into the Routine Management Zone capable of supporting a catch and release steelhead fishery in this system. Complete an updated biophysical inventory to reflect the extensive habitat restoration program over the last decade.,"System has received extensive habitat restoration but persistent infiltration by Quadra sands necessitates annual in-river scarification  to clean spawning gravel. All possible bank armoring has been done according to Fisheries and Oceans. Horne Lake spillway being rebuilt 2002. New rule curve will increase peak winter flows, but not above bank-full levels unless a 200-year flood occurs when the spillway is overtopped.  ","Limited catch and release fishery (targeting resident rainbow and sea-run cutthroat trout), gear restriction (artificial fly only), seasonal area closure",
18,011,East Vancouver Island,1,Black Creek,Winter,yes - quality unknown (DFO),DFO-coho index stream (fence for adult coho),,,920595100,920-5951-000-000-000-000-000-000-000-000-000-000,920-595100-00000-00000-0000-0000-000-000-000-000-000-000,308200,4,Probably locally extirpated (LE),In Decline,Extreme Conservation Concern,Wild,wild,<<50,241,27.84181,17.78046,1.09985,61.26317,1,74.75,106,0.06304,0,Moderate,Natural,"Large marshy area above small lake provides excellent coho habitat, chronic low summer flows - conflict with local farmers over water withdrawals an ongoing problem.  Present flows are regulated and efforts are being made to restore baseflows to 5% mad magnitude or 180 L/s (6 cfs).  Habitat-flow surveys are being completed to better define conservation flow needs for steelhead and cutthroat trout.Baseflow alkalinity moderate at  43 mg/L and predicted capacity per steelhead size class is 240 g/Unit.  Capacity may be higher with restored flows since SRP values are high at 12 µg/L due to agricultural inputs.",Marsh 101 DFO storage development project in conjunction with Timber West Forest Ltd. and Ducks Unlimited (summer 2000) – appears to be successful based on 2002 coho smolt numbers at the counting fence.,Conservation  flow requirements a major issue - regulated base flows are zero for a minimum of 30 days in some years.,Identify key steelhead habitats and any restoration opportunities - particular emphasis on restoring summer base flows,"DFO coho index stream. Historically very productive for coho. DFO may have reached a settlement with some farmers who have irrigation rights on the system, but tend to exceed their licensed withdrawals. System is considered over-subscribed with water licenses.  ",Steelhead Seasonal Closure,
305,,South Coast,1,Blind Creek,Winter,,,,,900571400,,,,3,,,Extreme Conservation Concern,Wild,wild,,645,8.09553,12.57503,0.93539,39.06733,18,41.67,771,0,0.18142,,,,,,,,,
,012,,1,Brother Creek,,,,,,,935-3020-467-000-000-000-000-000-000-000-000-000,935-302000-46700-00000-0000-0000-000-000-000-000-000-000,326592,,,,,,,,,,,,,,,,,,,,,,,,,,
,013,,1,Browns River,,"yes - historic, limited",limited history information on juvenile fish abundance,short tributary to Puntledge,,,920-5532-942-119-000-000-000-000-000-000-000-000,920-553200-94200-11900-0000-0000-000-000-000-000-000-000,307766,,,,,,,,,,,,,,,,,,,,,,,,,,
87,014, ,1,Burman River,Winter/Summer,"yes - historic, sporadic","sporadic historic information (adult, possibly juvenile)",,,930507400,930-5074-000-000-000-000-000-000-000-000-000-000,930-507400-00000-00000-0000-0000-000-000-000-000-000-000,320807,5,,In Decline,Extreme Conservation Concern,Augmented,wild,"100-200 WR, <50 SR",3334,15.81444,36.25743,1.58781,169.8883,12,241.71,918.4321,0.00114,0.1764,Low,Natural,"Rock slide at 8.5 km and falls at 13 km passable to SR steelhead, anadromous barrier at 0.7 km on Bancroft Cr. Logging to Strathcona Provincial Park boundary, T.F.L 19 within lower Burman held by Doman and Western Forest Products.",, Improve logging practices through strict application of good forest practices.,Recover wild stocks and maintain small catch and release wild fishery over fishable length while continuing to monitor returns in adjacent watersheds.,,"Wild Steelhead Release, Bait Ban, Single Barbless
Hook",
15,015,East Vancouver Island,1,Campbell River,Winter/Summer,"yes - historic, sporadic","sporadic historic information (adult, possibly juvenile), Tsitika summer transplants , WUP site - future directed sthd work (like Cheakamus study plan)",,,920627900,920-6279-000-000-000-000-000-000-000-000-000-000,920-627900-00000-00000-0000-0000-000-000-000-000-000-000,308446,6,SR = Very small habitat base / population,In Decline,Extreme Conservation Concern (for remnant stocks),Hatchery,wild,<50/<20,7424,32.06861,74.76543,2.47041,579.9802,9,1754.43,762.5489,0.00431,0.11331,Moderate,Natural,"Watershed Area: 1,755 sq. km includes area above John Hart Dam. Major reservoir - summer flows have been too high for steelhead fry. Has 3.7 km accessible length, but informal agreement with BC Hydro now delivers water to canyon creating 2 km of additional habitat.  Heavily impacted by BC Hydro power project flow regime, extreme ramping rates and loss of gravel recruitment leaving extremely coarse substrate. No enrichment requirement. Baseflow alkalinity moderate at 40 mg/L and predicted capacity per steelhead size class is 230 g/Unit.","A large suite of restoration projects has been undertaken since 1990 including gravel placements, flow modifications, side channels highly complexed with improved steelhead rearing habitat, restoration of estuary (through land purchase and relocation of heavy industry).",,"Create a fishery through augmentation with Tsitika captive brood summer run steelhead smolts (target 20,000 smolts per year) supporting 1,500 angler-days per year - first returns expected 2005/06.Increase fishing opportunities for hatchery steelhead with surplus Quinsan winter run fry from the LGB experiment returning in future years.Continue Water Use Plan with BC Hydro to improve flow and habitat conditions for steelhead, salmon and resident trout.",,"Limited catch and release fishery (targeting resident trout), gear restriction (artificial fly only)",
314,,West Vancouver Island,1,Canton Creek,Winter,,,,,930539800,,,,3,,,Conservation Concern,Wild,wild,,1059,4.34469,18.49632,1.12097,64.58827,15,37.96,645,0,0.13277,,,,,,,,,
88,,West Vancouver Island,1,Carmanah River,Winter/Summer,,,,,930065800,,,,4,Both SR and WR exist,In Decline,Conservation Concern,Wild,wild,<25 WR,1082,3.71755,18.74256,1.12818,65.74752,16,67.24,441.6981,0,0,Low,Natural,"Watershed completely contained and protected by Carmanah/Walbran Provincial Park. Falls located at 2.7 km impassable to all salmon, steelhead to 13.6 km",,"None, entire watershed is protected.",Recover wild stocks and monitor returns in adjacent watersheds.,,"Wild Steelhead Release, Bait Ban, Single Barbless
Hook",
319,,West Vancouver Island,1,Caycuse Creek,Winter,,,,,930844100,,,,3,Very small habitat base probably LE if ever viable,,Conservation Concern,Wild,wild,,999,3.24266,16.77932,1.06979,56.72477,16,26.02,485,0,0,,,,,,,,,
240,016,West Vancouver Island,1,Caycuse River,Winter/Summer,yes - historic,lots of historic juvenile and adult data (snorkel and limited EF - Andy Witt),,,93007170025700,930-0717-257-000-000-000-000-000-000-000-000-000,930-071700-25700-00000-0000-0000-000-000-000-000-000-000,316719,5,Mostly SR,In Decline,Conservation Concern,Wild,wild,"250-500 SR, 100-150 WR",,23.78,30.08,1.43,128.07,12,191.11,480.91,0,0,"Low, 18-24 mg/l alk",Natural,"Recreational fishing corridor established along 28.4 km including Cedar, Jims and Mystery Creeks. Limited habitat complexity exists due to a lack of LWD and off channel habitat. Upslope instabilities have filled in pools important for juvenile rearing and adult holding in low flows.",A sidechannel was built fin the lower river during the summer of 1999 largely for the benefit of coho and also provides rearing habitat for other salmonids.  Restoration of the watershed would require the stabalization of 19 landslides and 9 gullies as well as the deactivation of at least 35 km of roads but no work has been done to date.,Improve logging practices through strict application of good forest practices - particular emphasis should be placed on cut blocks on steep slopes in headwater reaches and on tributaries.,Recover wild stocks and maintain catch and release wild fishery over fishable length while continuing to monitor summer run stocks.,,"Wild Steelhead Release, Bait Ban, Single Barbless
Hook, fly fishing only above and including Hatton Creek.",
256,017,West Vancouver Island,1,Cayeghle/Colonial,Winter,,,,,930847100,930-8471-000-000-000-000-000-000-000-000-000-000,930-847100-00000-00000-0000-0000-000-000-000-000-000-000,324388,5,,In Decline,Conservation Concern,Augmented,wild,25-50 WR,1721,5.10149,30.24032,1.43831,129.083,17,88.56,456.1847,0,0.01682,Low,Natural,,9 LWD structures were created in 2000 while another 9 have been perscribed. All are located within the Colonial Creek watershed.,Improve logging practices through strict application of good forest practices - particular emphasis should be placed on cut blocks on steep slopes in headwater reaches and on tributaries.,Recover wild stocks and maintain small catch and release wild fishery over fishable length.,,"Wild Steelhead Release, Bait Ban, Single Barbless
Hook",
,467,,1,Charles Creek,,,,,,,900-6858-000-000-000-000-000-000-000-000-000-000,900-685800-00000-00000-0000-0000-000-000-000-000-000-000,272257,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,East Vancouver Island,1,Chase River,Winter,,,small system,,920389300,920-3893-000-000-000-000-000-000-000-000-000-000,920-389300-00000-00000-0000-0000-000-000-000-000-000-000,307179,3,Very small habitat base / population,,Extreme Conservation Concern,Hatchery,wild,,684,4.73144,11.38161,0.89409,34.46256,5,37.09,241,0.00447,0,,,,,,,,,
276,,West Vancouver Island,1,Cheewhat River,Winter,,,,,930070100,,,,3,Very small habitat base probably LE if ever viable,In Decline,Conservation Concern,Wild,wild,50 WR,272,7.49633,11.93122,0.91332,36.56099,10,30.82,208,0.02866,0,Low,Natural,,,Entire river is located within Pacific Rim National Park.,Recover wild stocks,,"Wild Steelhead Release, Bait Ban, Single Barbless
Hook",
27,019,East Vancouver Island,1,Chemainus River,Winter/Summer,"yes - historic, recent","historic, sporadic mainly juvenile EF, but also adult snorkel work (fairly recent), stream enrichment study site (GBSRP), good idea of habitat capacity here, density data available, water quality data too",,,920303500,920-3035-000-000-000-000-000-000-000-000-000-000,920-303500-00000-00000-0000-0000-000-000-000-000-000-000,306731,4,Rare Late spring run with overlapping SR in some years,Relatively Stable at a Low Level,Extreme Conservation Concern for both summer and winter runs,Wild,wild,50-100/<50,6126,57.91347,36.1066,1.58413,168.797,9,359.53,625.7128,0.00067,0.00378,Low,Natural,"Extensive  bedload movement in mainstem. Sediment problems,  historic logging damage and potential for more impacts, low summer flows with urbanization and agricultural impacts on the lower river. Base flow alkalinity low at 5 mg/L and predicted capacity per steelhead size class is 80 g/Unit.",Westholme side channel for salmon in lower river downstream of  Highway 1 bridge. ,Provide adequate protection from urban development and agricultural activities.  Ensure good logging practices are followed on private lands.  Work closely with provincial mine inspectors regarding new mining development applications. ,Recover wild stocks to well within the Routine Management Zone capable of supporting a catch and release fishery over 5 km fishable water based on 500 angler days per year.  Upgrade basic stock composition and habitat capability information. Engage private forest companies in significantly improved logging practices that are comparable to FPC standards and in a habitat restoration program over the next five years.  Consider as a candidate for a future LGB program if stock does not recover and results from elsewhere are positive.,The forest holdings in this watershed are all private land. Migration bottleneck exists in Copper Canyon - extensive habitat above but recruitment very weak. Juvenile sampling completed in 1998. Continue seasonal total closure until stock recovers. ,Steelhead Seasonal Closure,
89,020,West Vancouver Island,1,China Creek,Winter/Summer,"yes - historic, recent","snorkel surveys, 1-off juvenile EF related to hydro development",,,930132300,930-1323-000-000-000-000-000-000-000-000-000-000,930-132300-00000-00000-0000-0000-000-000-000-000-000-000,317732,4,,In Decline,Extreme Conservation Concern,Wild,wild,"<25 SR, 25-50 WR",1686,9.08323,20.06801,1.16641,72.1246,12,113.57,582.5668,0.00014,0.01003,Low,Natural,"Gravel pit and hog fuel dumop site leached iron and organic compounds as well as increased siltation which resulted in fish kills. Sites cleaned up in 80's and stocks rebounded somewhat. Old growth in watershed has mostly been removed, marina located in estuary since 1976. Upper watershed is water supply area for the city of Port Alberni.",, Improve logging practices through strict application of good forest practices - particular emphasis should be placed on cut blocks on steep slopes in headwater reaches. Ensure contamination/siltation issues of the past don't arise once again and monitor water usage as the city of Port Alberni grows.,Recover wild stocks and maintain small catch and release wild fishery over fishable length.,,"Wild Steelhead Release, Bait Ban, Single Barbless
Hook",
282,,South Coast ,1,Clear Creek,Winter/Summer,,,,,90529100076900,,,,4,,,Extreme Conservation Concern,Wild,wild,,726,8.77987,17.51229,1.09186,60.03475,4,72.6,132.8493,0.01728,0,,,,,,,,,
,146,,1,Clear River,,,,,,,900-6816-326-000-000-000-000-000-000-000-000-000,900-681600-32600-00000-0000-0000-000-000-000-000-000-000,272069,,,,,,,,,,,,,,,,,,,,,,,,,,
3,021,East Vancouver Island,1,Cluxewe River,Winter,"yes - ongoing, sporadic","juvenile stock assessment, limited snorkel surveys (FN interest)",,,920851500,920-8515-000-000-000-000-000-000-000-000-000-000,920-851500-00000-00000-0000-0000-000-000-000-000-000-000,314140,4,,In Decline,Extreme Conservation Concern,Augmented,augmented,100-200,1609,18.34689,26.89412,1.35218,108.7351,12,96.62,465.4194,0.01116,0.00113,Moderate,Natural,"Main stem channel instability, bank erosion, and sediment transport. Has greater percentage of riffle/cascade habitat than Quatse in upper 8 km. Baseflow alkalinity low at 28 mg/L and predicted capacity per steelhead size class is 192 g/Unit.",Inorganic enrichment began in 2001 but was discontinued in 2002 due to slow-release product unavailability.,"Improve logging practices through strict application of good forest practices - particular emphasis should be placed on cut blocks on steep slopes in headwater reaches where current operations are now largely focused.
Investigate need to isolate/remove or treat abandoned Port McNeill landfill above Highway 19.","Maintain a fishery for approximately 500 rod-days over 2 to 5-km fishable length through augmentation (winter steelhead smolts and fry raised by Quatse Hatchery) and conserve/rebuild wild stock if possible.
Review present management strategy and undertake comprehensive biophysical inventory to identify steelhead recovery options and constraints.",The stream is now eroding into the abandoned landfill on Crown Land above Highway 19. This is a potential source of toxic leachates. ,"Steelhead Fishery - catch and release of wild fish, extensive headwater seasonal closure. Current regulations only allow for a 2-km fishery based on angler access and fish distribution patterns",
284,,West Vancouver Island,1,Coetkwaus Creek,Winter,,,,,930870600,,,,3,Very small habitat base probably LE if ever viable,,Conservation Concern,Wild,wild,,434,4.33461,8.95794,0.80404,25.66137,4,10.04,95,0.00585,0,,,,,,,,,
,149,,1,Coeur D'Alene Creek,,,,,,,930-1932-000-000-000-000-000-000-000-000-000-000,930-193200-00000-00000-0000-0000-000-000-000-000-000-000,318693,,,,,,,,,,,,,,,,,,,,,,,,,,
