pse_region,species,cu_id,stream_id,cu_name,stream_name,run,year,population_estimate,method,data_source,note
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2011,253,AUC,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ","Steelhead Population Estimate (AUC - fixed at 50 days residence time and 0.55 observer efficiency, these data include spatially and temporally calibrated surveys for incomplete or non-peak surveys before 1998)"
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2012,129,AUC,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ","Steelhead Population Estimate (AUC - fixed at 50 days residence time and 0.55 observer efficiency, these data include spatially and temporally calibrated surveys for incomplete or non-peak surveys before 1998)"
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2013,298,AUC,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ","Steelhead Population Estimate (AUC - fixed at 50 days residence time and 0.55 observer efficiency, these data include spatially and temporally calibrated surveys for incomplete or non-peak surveys before 1998)"
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2014,164,AUC,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ","Steelhead Population Estimate (AUC - fixed at 50 days residence time and 0.55 observer efficiency, these data include spatially and temporally calibrated surveys for incomplete or non-peak surveys before 1998)"
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2015,330,AUC,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ","Steelhead Population Estimate (AUC - fixed at 50 days residence time and 0.55 observer efficiency, these data include spatially and temporally calibrated surveys for incomplete or non-peak surveys before 1998)"
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2016,278,AUC,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ","Steelhead Population Estimate (AUC - fixed at 50 days residence time and 0.55 observer efficiency, these data include spatially and temporally calibrated surveys for incomplete or non-peak surveys before 1998)"
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2017,138,AUC,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ","Steelhead Population Estimate (AUC - fixed at 50 days residence time and 0.55 observer efficiency, these data include spatially and temporally calibrated surveys for incomplete or non-peak surveys before 1998)"
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2018,58,AUC,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ","Steelhead Population Estimate (AUC - fixed at 50 days residence time and 0.55 observer efficiency, these data include spatially and temporally calibrated surveys for incomplete or non-peak surveys before 1998)"
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2019,135,AUC,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ","Steelhead Population Estimate (AUC - fixed at 50 days residence time and 0.55 observer efficiency, these data include spatially and temporally calibrated surveys for incomplete or non-peak surveys before 1998)"
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2020,56,AUC,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ","Steelhead Population Estimate (AUC - fixed at 50 days residence time and 0.55 observer efficiency, these data include spatially and temporally calibrated surveys for incomplete or non-peak surveys before 1998)"
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2021,61,AUC,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ","Steelhead Population Estimate (AUC - fixed at 50 days residence time and 0.55 observer efficiency, these data include spatially and temporally calibrated surveys for incomplete or non-peak surveys before 1998)"
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2022,54,AUC,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ","Steelhead Population Estimate (AUC - fixed at 50 days residence time and 0.55 observer efficiency, these data include spatially and temporally calibrated surveys for incomplete or non-peak surveys before 1998)"
