CONTAINER_ID,RELEASE_ID,WBODY_ID,WBODY_TYPE,NEW_WATERSHED_CODE,WATERBODY_IDENTIFIER,GAZETTED_NAME,SPECIES_CODE,SPECIES_NAME,BROOD_YEAR,HATCHERY_CODE,HATCHERY_NAME,RELEASE_DATE,YEAR,MONTH,DAY,EGGS_IND,STRAIN_NAME,STRAIN_WBODY_ID,SOURCE_NAME,SOURCE_WBODY_ID,ORIGIN,LIFE_STAGE,LIFE_STAGE_CODE,MARK_DESCRIPTION,MARK_DESCRIPTION_CODE,RELEASED_QUANTITY,AVERAGE_WEIGHT,RELEASE_MECHANISM,RELEASE_MECHANISM_CODE,RELEASE_SITE_NAME,RELEASE_SITE_CODE,GENOTYPE_NAME,GENOTYPE_CODE,WATER_TEMPERATURE,PH_LEVEL,COMMENTS,WITNESSED_IND,AGENCY_NAME,AGENCY_CODE,WBODY_ALIASES,PRIMARY_REGION_CODE,PRIMARY_REGION_NAME
73962,22981,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2018,FVH,FRASER VALLEY HATCHERY,2.02E+13,2019,5,3,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,18358,51.2,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Winter Run,WR,9.5,8.2,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
72137,22981,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2017,FVH,FRASER VALLEY HATCHERY,2.02E+13,2018,5,22,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,13848,61.8,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Winter Run,WR,14,8.3,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
72138,22976,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2017,FVH,FRASER VALLEY HATCHERY,2.02E+13,2018,5,22,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,6080,59,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Winter Run,WR,14,8.3,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
71844,26639,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2017,FVH,FRASER VALLEY HATCHERY,2.02E+13,2018,5,14,N,VEDDER - CHILLIWACK R,1555,VEDDER - CHILLIWACK R,1555,Wild,Smolt,SM,Adipose,AD,9679,29.3,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Winter Run,WR,14.6,7.7,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
71845,22977,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2017,FVH,FRASER VALLEY HATCHERY,2.02E+13,2018,5,14,N,VEDDER/STAVE R,,VEDDER/STAVE R,,Hatchery/Wild,Smolt,SM,Adipose,AD,10440,29.3,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,14.6,7.7,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
71846,22976,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2017,FVH,FRASER VALLEY HATCHERY,2.02E+13,2018,5,14,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,7134,57.5,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Winter Run,WR,14.6,7.7,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6769,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2005,FVH,FRASER VALLEY HATCHERY,2.01E+13,2006,5,11,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,22862,77.6,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,9,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6752,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2002,FVH,FRASER VALLEY HATCHERY,2.00E+13,2003,5,8,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,23877,69,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,11,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6765,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2004,FVH,FRASER VALLEY HATCHERY,2.01E+13,2005,5,6,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,24091,86.3,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,10,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6762,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2003,FVH,FRASER VALLEY HATCHERY,2.00E+13,2004,5,10,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,165,78.8,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,14,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
61815,22977,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2011,FVH,FRASER VALLEY HATCHERY,2.01E+13,2012,4,30,N,VEDDER/STAVE R,,VEDDER/STAVE R,,Hatchery/Wild,Smolt,SM,Adipose,AD,25,66.7,VOLITIONAL,V,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,10.9,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
61819,22981,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2011,FVH,FRASER VALLEY HATCHERY,2.01E+13,2012,4,25,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,25056,51.3,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Winter Run,WR,10.9,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
61820,22981,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2011,FVH,FRASER VALLEY HATCHERY,2.01E+13,2012,4,30,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,273,51.3,VOLITIONAL,V,ALOUETTE RIVER CORRECTIONS,ARU,Winter Run,WR,10.9,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6759,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2003,FVH,FRASER VALLEY HATCHERY,2.00E+13,2004,5,6,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,23108,76.3,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,13,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6768,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2005,FVH,FRASER VALLEY HATCHERY,2.01E+13,2006,5,8,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,1500,63.3,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,12,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6770,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2005,FVH,FRASER VALLEY HATCHERY,2.01E+13,2006,5,26,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,1167,69.4,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,13,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6755,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2002,FVH,FRASER VALLEY HATCHERY,2.00E+13,2003,5,22,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,246,69.1,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,15,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6741,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2000,FVH,FRASER VALLEY HATCHERY,2.00E+13,2001,5,28,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,7280,76.9,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,12,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6735,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,1999,FVH,FRASER VALLEY HATCHERY,2.00E+13,2000,5,4,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,15209,69,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,11,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
63223,22976,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2012,FVH,FRASER VALLEY HATCHERY,2.01E+13,2013,5,2,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,19203,63.1,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Winter Run,WR,,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6750,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2001,FVH,FRASER VALLEY HATCHERY,2.00E+13,2002,5,17,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,25310,64,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,9,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6727,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,1997,FVH,FRASER VALLEY HATCHERY,2.00E+13,1998,6,3,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,13506,75.8,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,14,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6669,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,1983,FVH,FRASER VALLEY HATCHERY,1.98E+13,1984,4,26,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,18217,85.5,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,10,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6629,23434,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,0,SFH,Smith Falls Hatchery,1.94E+13,1939,1,1,Y,SWELTZER RIVER,1567,SWELTZER RIVER,1567,Wild,Eyed Egg,EE,No Mark,NONE,500000,,UNKNOWN,U,MAIN - SFH,MAIN,Diploid,2N,0,,,N,"Unknown",U,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6630,23434,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,0,SFH,Smith Falls Hatchery,1.94E+13,1940,1,1,Y,SWELTZER RIVER,1567,SWELTZER RIVER,1567,Wild,Eyed Egg,EE,No Mark,NONE,150000,,UNKNOWN,U,MAIN - SFH,MAIN,Diploid,2N,0,,,N,"Unknown",U,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6694,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,1988,FVH,FRASER VALLEY HATCHERY,1.99E+13,1989,5,31,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,24280,40.8,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,0,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6647,23434,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,1955,SFH,Smith Falls Hatchery,1.96E+13,1955,6,16,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose & Right Ventral,ARV,7000,45,TRUCK,T,MAIN - SFH,MAIN,Diploid,2N,0,,,N,"Unknown",U,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6646,23434,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,1954,SFH,Smith Falls Hatchery,1.96E+13,1955,6,9,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose & Right Ventral,ARV,7300,44.9,TRUCK,T,MAIN - SFH,MAIN,Diploid,2N,0,,,N,"Unknown",U,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6645,23434,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,1954,SFH,Smith Falls Hatchery,1.95E+13,1954,8,31,N,UNKNOWN,,UNKNOWN,,Wild,Parr,PA,Adipose & Left Ventral,ALV,8000,18,TRUCK,T,MAIN - SFH,MAIN,Diploid,2N,0,,,N,"Unknown",U,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6677,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,1985,FVH,FRASER VALLEY HATCHERY,1.99E+13,1986,5,16,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,5258,82,UNKNOWN,U,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,0,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6676,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,1985,FVH,FRASER VALLEY HATCHERY,1.99E+13,1986,5,15,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,20742,82,UNKNOWN,U,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,0,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6632,23434,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,0,SFH,Smith Falls Hatchery,1.94E+13,1941,1,1,Y,SWELTZER RIVER,1567,SWELTZER RIVER,1567,Wild,Eyed Egg,EE,No Mark,NONE,100000,,UNKNOWN,U,MAIN - SFH,MAIN,Diploid,2N,0,,,N,"Unknown",U,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6690,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,1987,FVH,FRASER VALLEY HATCHERY,1.99E+13,1988,5,30,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,22540,67.6,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,0,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6686,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,1986,FVH,FRASER VALLEY HATCHERY,1.99E+13,1987,6,3,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,656,89.9,UNKNOWN,U,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,0,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6680,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,1985,FVH,FRASER VALLEY HATCHERY,1.99E+13,1986,7,2,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,3221,88.8,UNKNOWN,U,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,0,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6691,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,1987,FVH,FRASER VALLEY HATCHERY,1.99E+13,1988,6,7,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,1690,67.5,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,0,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6683,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,1986,FVH,FRASER VALLEY HATCHERY,1.99E+13,1987,5,4,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,6263,73.4,UNKNOWN,U,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,0,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6682,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,1986,FVH,FRASER VALLEY HATCHERY,1.99E+13,1987,5,1,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,13171,76.3,UNKNOWN,U,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,0,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6628,23434,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,0,SFH,Smith Falls Hatchery,1.94E+13,1938,1,1,Y,SWELTZER RIVER,1567,SWELTZER RIVER,1567,Wild,Eyed Egg,EE,No Mark,NONE,200000,,UNKNOWN,U,MAIN - SFH,MAIN,Diploid,2N,0,,,N,"Unknown",U,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
