pse_region,species,cu_id,stream_id,cu_name,stream_name,year,run,age-0+_standing_stock,age1_standing_stock,age-2+_standing_stock,method,lat,long,data_source,data_source_link,note
fraser,SH,781,9861,Thompson Summer,NICOLA RIVER,2001,summer,,23354,3548,snorkel,50.19557886,-121.0676044,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9861,Thompson Summer,NICOLA RIVER,2002,summer,,31310,3621,snorkel,50.19557886,-121.0676044,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9861,Thompson Summer,NICOLA RIVER,2003,summer,,43033,6689,snorkel,50.19557886,-121.0676044,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9861,Thompson Summer,NICOLA RIVER,2004,summer,,32992,3589,snorkel,50.19557886,-121.0676044,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9861,Thompson Summer,NICOLA RIVER,2005,summer,,45978,5161,snorkel,50.19557886,-121.0676044,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9861,Thompson Summer,NICOLA RIVER,2006,summer,,59451,2070,snorkel,50.19557886,-121.0676044,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9861,Thompson Summer,NICOLA RIVER,2008,summer,,44885,2669,snorkel,50.19557886,-121.0676044,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9861,Thompson Summer,NICOLA RIVER,2010,summer,,32691,"10,699 2",snorkel,50.19557886,-121.0676044,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9861,Thompson Summer,NICOLA RIVER,2011,summer,,23157,15656,snorkel,50.19557886,-121.0676044,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9861,Thompson Summer,NICOLA RIVER,2012,summer,,41090,22425,snorkel,50.19557886,-121.0676044,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9862,Thompson Summer,BONAPARTE RIVER,2001,summer,,32631,2323,snorkel,51.26940368,-120.9046824,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9862,Thompson Summer,BONAPARTE RIVER,2002,summer,,28005,1951,snorkel,51.26940368,-120.9046824,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9862,Thompson Summer,BONAPARTE RIVER,2003,summer,,19173,3553,snorkel,51.26940368,-120.9046824,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9862,Thompson Summer,BONAPARTE RIVER,2004,summer,,8603,1944,snorkel,51.26940368,-120.9046824,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9862,Thompson Summer,BONAPARTE RIVER,2006,summer,,17453,1867,snorkel,51.26940368,-120.9046824,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9862,Thompson Summer,BONAPARTE RIVER,2008,summer,,21139,7318,snorkel,51.26940368,-120.9046824,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9862,Thompson Summer,BONAPARTE RIVER,2010,summer,,29698,4235,snorkel,51.26940368,-120.9046824,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9862,Thompson Summer,BONAPARTE RIVER,2011,summer,,20876,11468,snorkel,51.26940368,-120.9046824,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9862,Thompson Summer,BONAPARTE RIVER,2012,summer,,20145,4824,snorkel,51.26940368,-120.9046824,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9863,Thompson Summer,DEADMAN RIVER,2001,summer,,12193,1479,snorkel,50.74417,-120.92066,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9863,Thompson Summer,DEADMAN RIVER,2002,summer,,13404,1269,snorkel,50.74417,-120.92066,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9863,Thompson Summer,DEADMAN RIVER,2003,summer,,16884,437,snorkel,50.74417,-120.92066,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9863,Thompson Summer,DEADMAN RIVER,2004,summer,,14488,604,snorkel,50.74417,-120.92066,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9863,Thompson Summer,DEADMAN RIVER,2005,summer,,22668,993,snorkel,50.74417,-120.92066,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9863,Thompson Summer,DEADMAN RIVER,2006,summer,,21376,1853,snorkel,50.74417,-120.92066,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9863,Thompson Summer,DEADMAN RIVER,2008,summer,,22912,4059,snorkel,50.74417,-120.92066,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9863,Thompson Summer,DEADMAN RIVER,2010,summer,,25121,3548,snorkel,50.74417,-120.92066,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9863,Thompson Summer,DEADMAN RIVER,2011,summer,,24307,3748,snorkel,50.74417,-120.92066,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
fraser,SH,781,9863,Thompson Summer,DEADMAN RIVER,2012,summer,,30483,1415,snorkel,50.74417,-120.92066,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,
