"","CUID","Species","Year","avgescapelog"
"88","781","SH","1962",NA
"89","981","SH","1962",NA
"90","984","SH","1962",NA
"91","985","SH","1962",NA
"92","281","SH","1963",NA
"93","480","SH","1963",NA
"94","780","SH","1963",NA
"95","781","SH","1963",NA
"96","981","SH","1963",NA
"97","984","SH","1963",NA
"98","985","SH","1963",NA
"99","281","SH","1964",NA
"100","480","SH","1964",NA
"101","780","SH","1964",NA
"102","781","SH","1964",NA
"103","981","SH","1964",NA
"104","984","SH","1964",NA
"105","985","SH","1964",NA
"106","281","SH","1965",NA
"107","480","SH","1965",NA
"108","780","SH","1965",NA
"109","781","SH","1965",NA
"110","981","SH","1965",NA
"111","984","SH","1965",NA
"112","985","SH","1965",NA
"113","281","SH","1966",NA
"114","480","SH","1966",NA
"115","780","SH","1966",NA
"116","781","SH","1966",NA
"117","981","SH","1966",NA
"118","984","SH","1966",NA
"119","985","SH","1966",NA
"120","281","SH","1967",NA
"121","480","SH","1967",NA
"122","780","SH","1967",NA
"123","781","SH","1967",NA
"124","981","SH","1967",NA
"125","984","SH","1967",NA
"126","985","SH","1967",NA
"127","281","SH","1968",NA
"128","480","SH","1968",NA
"129","780","SH","1968",NA
"130","781","SH","1968",NA
"131","981","SH","1968",NA
"132","984","SH","1968",NA
"133","985","SH","1968",NA
"134","281","SH","1969",NA
"135","480","SH","1969",NA
"136","780","SH","1969",NA
"137","781","SH","1969",NA
"138","981","SH","1969",NA
"139","984","SH","1969",NA
"140","985","SH","1969",NA
"141","281","SH","1970",NA
"142","480","SH","1970",NA
"143","780","SH","1970",NA
"144","781","SH","1970",NA
"145","981","SH","1970",NA
"146","984","SH","1970",NA
"147","985","SH","1970",NA
"148","281","SH","1971",NA
"149","480","SH","1971",NA
"150","780","SH","1971",NA
"151","781","SH","1971",NA
"152","981","SH","1971",NA
"153","984","SH","1971",NA
"154","985","SH","1971",NA
"155","281","SH","1972",NA
"156","480","SH","1972",NA
"157","780","SH","1972","6.87"
"158","781","SH","1972",NA
"159","981","SH","1972",NA
"160","984","SH","1972",NA
"161","985","SH","1972",NA
"162","281","SH","1973",NA
"163","480","SH","1973",NA
"164","780","SH","1973","7.07"
"165","781","SH","1973",NA
"166","981","SH","1973",NA
"167","984","SH","1973",NA
"168","985","SH","1973",NA
"169","281","SH","1974",NA
"170","480","SH","1974",NA
"171","780","SH","1974","6.88"
"172","781","SH","1974",NA
"173","981","SH","1974",NA
"174","984","SH","1974",NA
"175","985","SH","1974",NA
"176","281","SH","1975",NA
"177","480","SH","1975",NA
"178","780","SH","1975","6.75"
"179","781","SH","1975",NA
"180","981","SH","1975",NA
"181","984","SH","1975",NA
"182","985","SH","1975",NA
"183","281","SH","1976",NA
"184","480","SH","1976",NA
"185","780","SH","1976","6.78"
"186","781","SH","1976",NA
"187","981","SH","1976",NA
"188","984","SH","1976",NA
"189","985","SH","1976","4.97"
"190","281","SH","1977",NA
"191","480","SH","1977",NA
"192","780","SH","1977","6.65"
"193","781","SH","1977",NA
"194","981","SH","1977",NA
"195","984","SH","1977",NA
"196","985","SH","1977","4.91"
"197","281","SH","1978",NA
"198","480","SH","1978",NA
"199","780","SH","1978","6.6"
"200","781","SH","1978","7.42"
"201","981","SH","1978",NA
"202","984","SH","1978",NA
"203","985","SH","1978","4.46"
"204","281","SH","1979",NA
"205","480","SH","1979",NA
"206","780","SH","1979","6.62"
"207","781","SH","1979","7.42"
"208","981","SH","1979",NA
"209","984","SH","1979",NA
"210","985","SH","1979","4.63"
"211","281","SH","1980",NA
"212","480","SH","1980",NA
"213","780","SH","1980","6.7"
"214","781","SH","1980","7.23"
"215","981","SH","1980",NA
"216","984","SH","1980",NA
"217","985","SH","1980","4.63"
"218","281","SH","1981",NA
"219","480","SH","1981",NA
"220","780","SH","1981","6.59"
"221","781","SH","1981","7.2"
"222","981","SH","1981",NA
"223","984","SH","1981",NA
"224","985","SH","1981","4.69"
"225","281","SH","1982",NA
"226","480","SH","1982",NA
"227","780","SH","1982","6.72"
"228","781","SH","1982","7.18"
"229","981","SH","1982",NA
"230","984","SH","1982",NA
"231","985","SH","1982","4.75"
"232","281","SH","1983",NA
"233","480","SH","1983",NA
"234","780","SH","1983","6.78"
"235","781","SH","1983","7.28"
"236","981","SH","1983",NA
"237","984","SH","1983",NA
"238","985","SH","1983","5.1"
"239","281","SH","1984",NA
"240","480","SH","1984",NA
"241","780","SH","1984","6.87"
"242","781","SH","1984","7.2"
"243","981","SH","1984",NA
"244","984","SH","1984",NA
"245","985","SH","1984","5.14"
"246","281","SH","1985",NA
"247","480","SH","1985",NA
"248","780","SH","1985","7.11"
"249","781","SH","1985","7.45"
"250","981","SH","1985",NA
"251","984","SH","1985","7.02"
"252","985","SH","1985","5.41"
"253","281","SH","1986",NA
"254","480","SH","1986",NA
"255","780","SH","1986","7.36"
"256","781","SH","1986","7.58"
"257","981","SH","1986",NA
"258","984","SH","1986","7.01"
"259","985","SH","1986","5.49"
"260","281","SH","1987",NA
"261","480","SH","1987",NA
"262","780","SH","1987","7.55"
"263","781","SH","1987","7.65"
"264","981","SH","1987",NA
"265","984","SH","1987","7.04"
"266","985","SH","1987","5.67"
"267","281","SH","1988",NA
"268","480","SH","1988",NA
"269","780","SH","1988","7.63"
"270","781","SH","1988","7.53"
"271","981","SH","1988",NA
"272","984","SH","1988","6.98"
"273","985","SH","1988","5.78"
"274","281","SH","1989",NA
"275","480","SH","1989",NA
"276","780","SH","1989","7.49"
"277","781","SH","1989","7.61"
"278","981","SH","1989",NA
"279","984","SH","1989","6.87"
"280","985","SH","1989","5.9"
"281","281","SH","1990",NA
"282","480","SH","1990",NA
"283","780","SH","1990","7.06"
"284","781","SH","1990","7.4"
"285","981","SH","1990",NA
"286","984","SH","1990","6.77"
"287","985","SH","1990","5.82"
"288","281","SH","1991",NA
"289","480","SH","1991",NA
"290","780","SH","1991","6.77"
"291","781","SH","1991","7.27"
"292","981","SH","1991",NA
"293","984","SH","1991","6.66"
"294","985","SH","1991","5.84"
"295","281","SH","1992",NA
"296","480","SH","1992",NA
"297","780","SH","1992","6.49"
"298","781","SH","1992","7.14"
"299","981","SH","1992",NA
"300","984","SH","1992","6.6"
"301","985","SH","1992","5.75"
"302","281","SH","1993",NA
"303","480","SH","1993",NA
"304","780","SH","1993","6.42"
"305","781","SH","1993","7.27"
"306","981","SH","1993",NA
"307","984","SH","1993","6.54"
"308","985","SH","1993","5.66"
"309","281","SH","1994","6.37"
"310","480","SH","1994","8.82"
"311","780","SH","1994","6.5"
"312","781","SH","1994","7.36"
"313","981","SH","1994",NA
"314","984","SH","1994","6.5"
"315","985","SH","1994","5.55"
"316","281","SH","1995","6.26"
"317","480","SH","1995","8.42"
"318","780","SH","1995","6.65"
"319","781","SH","1995","7.51"
"320","981","SH","1995",NA
"321","984","SH","1995","6.47"
"322","985","SH","1995","5.42"
"323","281","SH","1996","6.22"
"324","480","SH","1996","8.73"
"325","780","SH","1996","6.67"
"326","781","SH","1996","7.48"
"327","981","SH","1996",NA
"328","984","SH","1996","6.61"
"329","985","SH","1996","5.18"
"330","281","SH","1997","6.28"
"331","480","SH","1997","8.88"
"332","780","SH","1997","6.86"
"333","781","SH","1997","7.72"
"334","981","SH","1997",NA
"335","984","SH","1997","6.58"
"336","985","SH","1997","5.11"
"337","281","SH","1998","6.41"
"338","480","SH","1998","8.98"
"339","780","SH","1998","6.7"
"340","781","SH","1998","7.58"
"341","981","SH","1998",NA
"342","984","SH","1998","6.69"
"343","985","SH","1998","5.07"
"344","281","SH","1999","6.46"
"345","480","SH","1999","9.06"
"346","780","SH","1999","6.66"
"347","781","SH","1999","7.57"
"348","981","SH","1999","5.64"
"349","984","SH","1999","6.75"
"350","985","SH","1999","4.71"
"351","281","SH","2000","6.41"
"352","480","SH","2000","9.4"
"353","780","SH","2000","6.63"
"354","781","SH","2000","7.46"
"355","981","SH","2000","5.86"
"356","984","SH","2000","6.88"
"357","985","SH","2000","4.64"
"358","281","SH","2001","6.51"
"359","480","SH","2001","9.42"
"360","780","SH","2001","6.81"
"361","781","SH","2001","7.58"
"362","981","SH","2001","6.02"
"363","984","SH","2001","6.8"
"364","985","SH","2001","4.68"
"365","281","SH","2002","6.56"
"366","480","SH","2002","9.51"
"367","780","SH","2002","6.77"
"368","781","SH","2002","7.59"
"369","981","SH","2002","6.02"
"370","984","SH","2002","6.82"
"371","985","SH","2002","4.61"
"372","281","SH","2003","6.56"
"373","480","SH","2003","9.59"
"374","780","SH","2003","6.83"
"375","781","SH","2003","7.6"
"376","981","SH","2003","5.95"
"377","984","SH","2003","6.66"
"378","985","SH","2003","4.45"
"379","281","SH","2004","6.63"
"380","480","SH","2004","9.42"
"381","780","SH","2004","6.6"
"382","781","SH","2004","7.4"
"383","981","SH","2004","5.93"
"384","984","SH","2004","6.48"
"385","985","SH","2004","4.55"
"386","281","SH","2005","6.56"
"387","480","SH","2005","9.29"
"388","780","SH","2005","6.46"
"389","781","SH","2005","7.49"
"390","981","SH","2005","5.89"
"391","984","SH","2005","6.24"
"392","985","SH","2005","4.45"
"393","281","SH","2006","6.17"
"394","480","SH","2006","9.09"
"395","780","SH","2006","6.3"
"396","781","SH","2006","7.47"
"397","981","SH","2006","5.86"
"398","984","SH","2006","6.22"
"399","985","SH","2006","4.47"
"400","281","SH","2007","5.95"
"401","480","SH","2007","8.89"
"402","780","SH","2007","6.09"
"403","781","SH","2007","7.18"
"404","981","SH","2007","5.76"
"405","984","SH","2007","6.1"
"406","985","SH","2007","4.43"
"407","281","SH","2008","5.61"
"408","480","SH","2008","8.85"
"409","780","SH","2008","5.74"
"410","781","SH","2008","7.13"
"411","981","SH","2008","5.81"
"412","984","SH","2008","6.03"
"413","985","SH","2008","4.62"
"414","281","SH","2009","5.63"
"415","480","SH","2009","9.18"
"416","780","SH","2009","5.81"
"417","781","SH","2009","7.07"
"418","981","SH","2009","5.91"
"419","984","SH","2009","6.16"
"420","985","SH","2009","4.88"
"421","281","SH","2010","5.88"
"422","480","SH","2010","9.37"
"423","780","SH","2010","5.6"
"424","781","SH","2010","6.79"
"425","981","SH","2010","5.92"
"426","984","SH","2010","6.26"
"427","985","SH","2010","5.12"
"428","281","SH","2011","6.33"
"429","480","SH","2011","9.68"
"430","780","SH","2011","5.53"
"431","781","SH","2011","6.56"
"432","981","SH","2011","5.86"
"433","984","SH","2011","6.43"
"434","985","SH","2011","5.23"
"435","281","SH","2012","6.63"
"436","480","SH","2012","9.85"
"437","780","SH","2012","5.49"
"438","781","SH","2012","6.62"
"439","981","SH","2012","6.05"
"440","984","SH","2012","6.59"
"441","985","SH","2012","5.43"
"442","281","SH","2013","6.99"
"443","480","SH","2013","9.74"
"444","780","SH","2013","5.67"
"445","781","SH","2013","6.61"
"446","981","SH","2013","6.11"
"447","984","SH","2013","6.76"
"448","985","SH","2013","5.22"
"449","281","SH","2014","6.94"
"450","480","SH","2014","9.68"
"451","780","SH","2014","5.85"
"452","781","SH","2014","6.73"
"453","981","SH","2014","6.15"
"454","984","SH","2014","6.89"
"455","985","SH","2014","5.2"
"456","281","SH","2015","6.92"
"457","480","SH","2015","9.63"
"458","780","SH","2015","6.08"
"459","781","SH","2015","6.81"
"460","981","SH","2015","6.22"
"461","984","SH","2015","6.73"
"462","985","SH","2015","5.1"
"463","281","SH","2016","6.97"
"464","480","SH","2016","9.66"
"465","780","SH","2016","5.86"
"466","781","SH","2016","6.72"
"467","981","SH","2016","6.2"
"468","984","SH","2016","6.66"
"469","985","SH","2016","5.08"
"470","281","SH","2017","6.96"
"471","480","SH","2017","9.58"
"472","780","SH","2017","5.75"
"473","781","SH","2017","6.42"
"474","981","SH","2017","6.02"
"475","984","SH","2017","6.54"
"476","985","SH","2017","4.96"
"477","281","SH","2018","6.7"
"478","480","SH","2018","9.84"
"479","780","SH","2018","5.4"
"480","781","SH","2018","6.01"
"481","981","SH","2018","5.87"
"482","984","SH","2018","6.45"
"483","985","SH","2018","4.92"
"484","281","SH","2019","6.64"
"485","480","SH","2019","9.73"
"486","780","SH","2019","5.03"
"487","781","SH","2019","5.69"
"488","981","SH","2019","5.69"
"489","984","SH","2019","6.13"
"490","985","SH","2019","4.8"
"491","281","SH","2020","6.34"
"492","480","SH","2020","9.44"
"493","780","SH","2020","4.54"
"494","781","SH","2020","5.47"
"495","981","SH","2020","5.55"
"496","984","SH","2020","6"
"497","985","SH","2020","4.8"
"498","281","SH","2021","5.85"
"499","480","SH","2021","9.16"
"500","780","SH","2021","4.1"
"501","781","SH","2021","5.36"
"502","981","SH","2021","5.35"
"503","984","SH","2021","5.58"
"504","985","SH","2021","4.54"
"505","281","SH","2022","5.53"
"506","480","SH","2022","9.22"
"507","780","SH","2022","3.86"
"508","781","SH","2022","5.33"
"509","981","SH","2022","5.3"
"510","984","SH","2022","5.38"
"511","985","SH","2022","4.16"
