"Conservation.Unit.Name","Species","Year","Abundance","Latitude","Longitude","Enumeration.Location.Name.Description","Enumeration.Method"
"East Vancouver Island Winter","Steelhead",2011,1638,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",2012,3193,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",2013,2620,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",2014,2382,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",2015,2981,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",2016,2009,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",2017,2396,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",2018,1471,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",2019,2169,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",2020,2317,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",2021,2757,50.67593152,-127.3500607,"Keogh River","Fence"
"South Coast Winter","Steelhead",2010,18300,49.79119771,-123.1672473,"Cheakamus","Electrofishing"
"South Coast Winter","Steelhead",2011,3500,49.79119771,-123.1672473,"Cheakamus","Electrofishing"
"South Coast Winter","Steelhead",2012,19600,49.79119771,-123.1672473,"Cheakamus","Electrofishing"
"South Coast Winter","Steelhead",2013,11560,49.79119771,-123.1672473,"Cheakamus","Electrofishing"
"South Coast Winter","Steelhead",2014,45600,49.79119771,-123.1672473,"Cheakamus","Electrofishing"
"South Coast Winter","Steelhead",2015,7000,49.79119771,-123.1672473,"Cheakamus","Electrofishing"
"South Coast Winter","Steelhead",2016,14200,49.79119771,-123.1672473,"Cheakamus","Electrofishing"
"South Coast Winter","Steelhead",2017,10500,49.79119771,-123.1672473,"Cheakamus","Electrofishing"
"South Coast Winter","Steelhead",2018,9600,49.79119771,-123.1672473,"Cheakamus","Electrofishing"
"South Coast Winter","Steelhead",2020,11300,49.79119771,-123.1672473,"Cheakamus","Electrofishing"
"South Coast Winter","Steelhead",2010,2700,49.79119771,-123.1672473,"Brohm","Electrofishing"
"South Coast Winter","Steelhead",2011,1100,49.79119771,-123.1672473,"Brohm","Electrofishing"
"South Coast Winter","Steelhead",2012,2220,49.79119771,-123.1672473,"Brohm","Electrofishing"
"South Coast Winter","Steelhead",2013,1510,49.79119771,-123.1672473,"Brohm","Electrofishing"
"South Coast Winter","Steelhead",2014,2300,49.79119771,-123.1672473,"Brohm","Electrofishing"
"South Coast Winter","Steelhead",2015,800,49.79119771,-123.1672473,"Brohm","Electrofishing"
"South Coast Winter","Steelhead",2016,890,49.79119771,-123.1672473,"Brohm","Electrofishing"
"South Coast Winter","Steelhead",2017,1100,49.79119771,-123.1672473,"Brohm","Electrofishing"
"South Coast Winter","Steelhead",2010,18300,49.79119771,-123.1672473,"Cheakamus","Electrofishing"
"South Coast Winter","Steelhead",2011,3500,49.79119771,-123.1672473,"Cheakamus","Electrofishing"
"South Coast Winter","Steelhead",2012,19600,49.79119771,-123.1672473,"Cheakamus","Electrofishing"
"South Coast Winter","Steelhead",2013,11560,49.79119771,-123.1672473,"Cheakamus","Electrofishing"
"South Coast Winter","Steelhead",2014,45600,49.79119771,-123.1672473,"Cheakamus","Electrofishing"
"South Coast Winter","Steelhead",2015,7000,49.79119771,-123.1672473,"Cheakamus","Electrofishing"
"South Coast Winter","Steelhead",2016,14200,49.79119771,-123.1672473,"Cheakamus","Electrofishing"
"South Coast Winter","Steelhead",2017,10500,49.79119771,-123.1672473,"Cheakamus","Electrofishing"
"South Coast Winter","Steelhead",2018,9600,49.79119771,-123.1672473,"Cheakamus","Electrofishing"
"South Coast Winter","Steelhead",2020,11300,49.79119771,-123.1672473,"Cheakamus","Electrofishing"
"South Coast Winter","Steelhead",2010,2700,49.806974,-123.120242,"Brohm","Electrofishing"
"South Coast Winter","Steelhead",2011,1100,49.806974,-123.120242,"Brohm","Electrofishing"
"South Coast Winter","Steelhead",2012,2220,49.806974,-123.120242,"Brohm","Electrofishing"
"South Coast Winter","Steelhead",2013,1510,49.806974,-123.120242,"Brohm","Electrofishing"
"South Coast Winter","Steelhead",2014,2300,49.806974,-123.120242,"Brohm","Electrofishing"
"South Coast Winter","Steelhead",2015,800,49.806974,-123.120242,"Brohm","Electrofishing"
"South Coast Winter","Steelhead",2016,890,49.806974,-123.120242,"Brohm","Electrofishing"
"South Coast Winter","Steelhead",2017,1100,49.806974,-123.120242,"Brohm","Electrofishing"
