Conservation.Unit.Name,Species,Year,absolute_abundance,Latitude,Longitude,Enumeration.Location.Name.Description,Enumeration.Method,density_abundance
East Vancouver Island Winter,Steelhead,1998,NA,49.32911,-124.295001,ENGLISHMAN RIVER,electrofishing,35
East Vancouver Island Winter,Steelhead,1999,NA,49.32911,-124.295001,ENGLISHMAN RIVER,electrofishing,46
East Vancouver Island Winter,Steelhead,2000,NA,49.32911,-124.295001,ENGLISHMAN RIVER,electrofishing,25
East Vancouver Island Winter,Steelhead,2001,NA,49.32911,-124.295001,ENGLISHMAN RIVER,electrofishing,26
East Vancouver Island Winter,Steelhead,2002,NA,49.32911,-124.295001,ENGLISHMAN RIVER,electrofishing,26
East Vancouver Island Winter,Steelhead,2003,NA,49.32911,-124.295001,ENGLISHMAN RIVER,electrofishing,17
East Vancouver Island Winter,Steelhead,2004,NA,49.32911,-124.295001,ENGLISHMAN RIVER,electrofishing,21
East Vancouver Island Winter,Steelhead,2005,NA,49.32911,-124.295001,ENGLISHMAN RIVER,electrofishing,19
East Vancouver Island Winter,Steelhead,2006,NA,49.32911,-124.295001,ENGLISHMAN RIVER,electrofishing,48
East Vancouver Island Winter,Steelhead,2008,NA,49.32911,-124.295001,ENGLISHMAN RIVER,electrofishing,21
East Vancouver Island Winter,Steelhead,2011,NA,49.32911,-124.295001,ENGLISHMAN RIVER,electrofishing,45
East Vancouver Island Winter,Steelhead,2012,NA,49.32911,-124.295001,ENGLISHMAN RIVER,electrofishing,29
East Vancouver Island Winter,Steelhead,2013,NA,49.32911,-124.295001,ENGLISHMAN RIVER,electrofishing,40
East Vancouver Island Winter,Steelhead,2014,NA,49.32911,-124.295001,ENGLISHMAN RIVER,electrofishing,26
East Vancouver Island Winter,Steelhead,2015,NA,49.32911,-124.295001,ENGLISHMAN RIVER,electrofishing,30
East Vancouver Island Winter,Steelhead,2016,NA,49.32911,-124.295001,ENGLISHMAN RIVER,electrofishing,31
East Vancouver Island Winter,Steelhead,2017,NA,49.32911,-124.295001,ENGLISHMAN RIVER,electrofishing,29
East Vancouver Island Winter,Steelhead,2018,NA,49.32911,-124.295001,ENGLISHMAN RIVER,electrofishing,33
East Vancouver Island Winter,Steelhead,1999,NA,48.76364357,-123.7931872,COWICHAN RIVER,electrofishing,51
East Vancouver Island Winter,Steelhead,2000,NA,48.76364357,-123.7931872,COWICHAN RIVER,electrofishing,78
East Vancouver Island Winter,Steelhead,2001,NA,48.76364357,-123.7931872,COWICHAN RIVER,electrofishing,54
East Vancouver Island Winter,Steelhead,2002,NA,48.76364357,-123.7931872,COWICHAN RIVER,electrofishing,87
East Vancouver Island Winter,Steelhead,2003,NA,48.76364357,-123.7931872,COWICHAN RIVER,electrofishing,84
East Vancouver Island Winter,Steelhead,2004,NA,48.76364357,-123.7931872,COWICHAN RIVER,electrofishing,106
East Vancouver Island Winter,Steelhead,2005,NA,48.76364357,-123.7931872,COWICHAN RIVER,electrofishing,86
East Vancouver Island Winter,Steelhead,2006,NA,48.76364357,-123.7931872,COWICHAN RIVER,electrofishing,213
East Vancouver Island Winter,Steelhead,2008,NA,48.76364357,-123.7931872,COWICHAN RIVER,electrofishing,166
East Vancouver Island Winter,Steelhead,2009,NA,48.76364357,-123.7931872,COWICHAN RIVER,electrofishing,140
East Vancouver Island Winter,Steelhead,2010,NA,48.76364357,-123.7931872,COWICHAN RIVER,electrofishing,189
East Vancouver Island Winter,Steelhead,2011,NA,48.76364357,-123.7931872,COWICHAN RIVER,electrofishing,346
East Vancouver Island Winter,Steelhead,2012,NA,48.76364357,-123.7931872,COWICHAN RIVER,electrofishing,328
East Vancouver Island Winter,Steelhead,2013,NA,48.76364357,-123.7931872,COWICHAN RIVER,electrofishing,277
East Vancouver Island Winter,Steelhead,2014,NA,48.76364357,-123.7931872,COWICHAN RIVER,electrofishing,174
East Vancouver Island Winter,Steelhead,2015,NA,48.76364357,-123.7931872,COWICHAN RIVER,electrofishing,247
East Vancouver Island Winter,Steelhead,2016,NA,48.76364357,-123.7931872,COWICHAN RIVER,electrofishing,181
East Vancouver Island Winter,Steelhead,2017,NA,48.76364357,-123.7931872,COWICHAN RIVER,electrofishing,155
East Vancouver Island Winter,Steelhead,2018,NA,48.76364357,-123.7931872,COWICHAN RIVER,electrofishing,140
Mid Columbia Summer,Steelhead,2016,2200,49.072511,-119.503958,Inkaneep Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2017,4556,49.072511,-119.503958,Inkaneep Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2018,149,49.072511,-119.503958,Inkaneep Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2019,4351,49.072511,-119.503958,Inkaneep Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2020,3333,49.072511,-119.503958,Inkaneep Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2021,1211,49.072511,-119.503958,Inkaneep Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2018,3588,49.244283,-119.529293,Vaseux Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2019,3424,49.244283,-119.529293,Vaseux Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2020,6374,49.244283,-119.529293,Vaseux Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2021,3110,49.244283,-119.529293,Vaseux Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2016,3314,49.334546,-119.582174,Shuttleworth Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2017,2658,49.334546,-119.582174,Shuttleworth Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2018,3696,49.334546,-119.582174,Shuttleworth Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2019,10830,49.334546,-119.582174,Shuttleworth Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2020,4906,49.334546,-119.582174,Shuttleworth Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2021,1261,49.334546,-119.582174,Shuttleworth Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2016,6532,49.479925,-119.60074,Lower Shingle Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2017,13515,49.479925,-119.60074,Lower Shingle Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2018,8136,49.479925,-119.60074,Lower Shingle Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2019,6284,49.479925,-119.60074,Lower Shingle Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2020,5679,49.479925,-119.60074,Lower Shingle Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2021,2189,49.479925,-119.60074,Lower Shingle Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2016,2797,49.482695,-119.738974,Upper Shingle Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2017,2286,49.482695,-119.738974,Upper Shingle Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2018,5071,49.482695,-119.738974,Upper Shingle Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2019,7169,49.482695,-119.738974,Upper Shingle Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2020,5930,49.482695,-119.738974,Upper Shingle Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2021,1391,49.482695,-119.738974,Upper Shingle Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2016,4756,49.467738,-119.716774,Shatford Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2017,9465,49.467738,-119.716774,Shatford Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2018,4182,49.467738,-119.716774,Shatford Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2019,3718,49.467738,-119.716774,Shatford Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2020,8460,49.467738,-119.716774,Shatford Creek,Electrofishing,NA
Mid Columbia Summer,Steelhead,2021,3770,49.467738,-119.716774,Shatford Creek,Electrofishing,NA
