Region,Stream,Ecotype,Season,Responses,^Anglers,^Days,^Wild_Kept,^Wild_Rel,^Hatch_Kept,^Hatch_Rel,^Wild_Tot,^Hatch_Tot,^Kept_Tot,^Rel_Tot,^Catch_Tot,New WSC
1,ADAM RIVER,SW,2007/2008,3,8,12,0,0,0,0,0,0,0,0,0,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,2008/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,2009/2010,2,4,8,0,0,0,0,0,0,0,0,0,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,2010/2011,0,0,0,0,0,0,0,0,0,0,0,0,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,2011/2012,1,2,2,0,2,0,0,2,0,0,2,2,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,2012/2013,2,8,10,0,0,0,0,0,0,0,0,0,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,2013/2014,1,6,121,0,0,0,0,0,0,0,0,0,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,2014/2015,2,12,67,0,11,0,0,11,0,0,11,11,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,2015/2016,2,10,32,0,9,0,0,9,0,0,9,9,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,2016/2017,0,0,0,0,0,0,0,0,0,0,0,0,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,2017/2018,3,14,32,0,19,0,0,19,0,0,19,19,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,2018/2019,3,14,24,0,19,0,0,19,0,0,19,19,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,2019/2020,3,14,33,0,19,0,0,19,0,0,19,19,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,2020/2021,2,10,10,0,0,0,0,0,0,0,0,0,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1967/1968,UN,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1968/1969,UN,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1969/1970,UN,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1970/1971,UN,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1971/1972,UN,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1972/1973,UN,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1973/1974,UN,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1974/1975,UN,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1975/1976,UN,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1976/1977,UN,3,3,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1977/1978,UN,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1978/1979,UN,3,32,6,16,0,0,22,0,6,16,22,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1979/1980,UN,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1980/1981,UN,2,5,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1981/1982,UN,9,29,10,18,0,0,28,0,10,18,28,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1982/1983,1*,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1983/1984,1,4,13,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1984/1985,3,8,22,3,12,0,0,15,0,3,12,15,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1985/1986,3,7,7,4,0,0,0,4,0,4,0,4,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1986/1987,0,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1987/1988,5,22,80,0,101,0,0,101,0,0,101,101,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1988/1989,2,10,15,0,20,0,0,20,0,0,20,20,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1989/1990,2,8,16,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1990/1991,1,8,27,31,15,0,0,46,0,31,15,46,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1991/1992,1*,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1992/1993,4,10,18,0,4,0,0,4,0,0,4,4,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1993/1994,1,5,10,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1994/1995,1,3,3,0,3,0,0,3,0,0,3,3,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1995/1996,0,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1996/1997,2,6,13,0,3,0,0,3,0,0,3,3,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1997/1998,0,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1998/1999,0,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,1999/2000,1,5,23,0,5,0,0,5,0,0,5,5,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,2000/2001,1,4,11,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,2001/2002,1,3,7,0,3,0,0,3,0,0,3,3,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,2002/2003,0,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,2003/2004,0,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,2004/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,2005/2006,0,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,2006/2007,1,6,86,0,34,0,0,34,0,0,34,34,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,2007/2008,1,3,3,0,0,3,0,0,3,3,0,3,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,2008/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,2009/2010,0,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,2010/2011,0,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,2011/2012,0,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,2013/2014,0,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,2014/2015,0,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,2015/2016,0,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,2016/2017,0,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,2017/2018,0,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,2018/2019,0,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,2019/2020,0,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AHNUHATI RIVER,W,2020/2021,0,0,0,0,0,0,0,0,0,0,0,0,900-603000-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1967/1968,UN,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1968/1969,UN,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1969/1970,UN,5,22,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1970/1971,UN,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1971/1972,UN,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1972/1973,UN,2,5,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1973/1974,UN,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1974/1975,UN,4,4,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1975/1976,UN,3,10,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1976/1977,UN,6,22,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1977/1978,UN,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1978/1979,UN,2,2,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1979/1980,UN,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1980/1981,UN,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1981/1982,UN,3,3,0,2,0,0,2,0,0,2,2,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1982/1983,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1983/1984,1,4,12,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1984/1985,1,3,10,0,10,0,0,10,0,0,10,10,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1985/1986,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1986/1987,3,13,21,0,4,0,0,4,0,0,4,4,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1987/1988,3,11,23,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1988/1989,3,13,17,0,14,0,0,14,0,0,14,14,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1989/1990,1,4,4,4,0,4,0,4,4,8,0,8,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1990/1991,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1991/1992,1,4,8,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1992/1993,1,4,16,0,8,0,0,8,0,0,8,8,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1993/1994,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1994/1995,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1995/1996,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1996/1997,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1997/1998,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1998/1999,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,1999/2000,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,2000/2001,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,2001/2002,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,2002/2003,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,2003/2004,1,4,7,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,2004/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,2005/2006,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,2006/2007,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,2007/2008,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,2008/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,2009/2010,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,2010/2011,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,2011/2012,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,2013/2014,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,2014/2015,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,2015/2016,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,2016/2017,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,2017/2018,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,2018/2019,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,2019/2020,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AIN RIVER,W,2020/2021,0,0,0,0,0,0,0,0,0,0,0,0,940-768700-00000-00000-0000-0000-000-000-000-000-000-000
1,AMOR DE COSMOS RIVER,W,1967/1968,UN,120,331,146,0,0,0,146,0,146,0,146,920-700700-00000-00000-0000-0000-000-000-000-000-000-000
1,AMOR DE COSMOS RIVER,W,1968/1969,UN,31,100,49,0,0,0,49,0,49,0,49,920-700700-00000-00000-0000-0000-000-000-000-000-000-000
1,AMOR DE COSMOS RIVER,W,1969/1970,UN,94,239,38,0,0,0,38,0,38,0,38,920-700700-00000-00000-0000-0000-000-000-000-000-000-000
1,AMOR DE COSMOS RIVER,W,1970/1971,UN,146,438,324,165,0,0,489,0,324,165,489,920-700700-00000-00000-0000-0000-000-000-000-000-000-000
1,AMOR DE COSMOS RIVER,W,1971/1972,UN,39,119,75,142,0,0,217,0,75,142,217,920-700700-00000-00000-0000-0000-000-000-000-000-000-000
1,AMOR DE COSMOS RIVER,W,1972/1973,UN,93,286,111,159,0,0,270,0,111,159,270,920-700700-00000-00000-0000-0000-000-000-000-000-000-000
1,AMOR DE COSMOS RIVER,W,1973/1974,UN,123,363,51,62,0,0,113,0,51,62,113,920-700700-00000-00000-0000-0000-000-000-000-000-000-000
1,AMOR DE COSMOS RIVER,W,1974/1975,UN,92,238,125,94,0,0,219,0,125,94,219,920-700700-00000-00000-0000-0000-000-000-000-000-000-000
1,AMOR DE COSMOS RIVER,W,1975/1976,UN,139,407,64,88,0,0,152,0,64,88,152,920-700700-00000-00000-0000-0000-000-000-000-000-000-000
1,AMOR DE COSMOS RIVER,W,1976/1977,UN,152,597,108,121,0,0,229,0,108,121,229,920-700700-00000-00000-0000-0000-000-000-000-000-000-000
1,AMOR DE COSMOS RIVER,W,1977/1978,UN,121,252,64,106,0,0,170,0,64,106,170,920-700700-00000-00000-0000-0000-000-000-000-000-000-000
1,AMOR DE COSMOS RIVER,W,1978/1979,UN,88,213,48,83,0,0,131,0,48,83,131,920-700700-00000-00000-0000-0000-000-000-000-000-000-000
1,AMOR DE COSMOS RIVER,W,1979/1980,UN,74,171,42,202,0,0,244,0,42,202,244,920-700700-00000-00000-0000-0000-000-000-000-000-000-000
1,AMOR DE COSMOS RIVER,W,1980/1981,UN,47,99,3,40,0,0,43,0,3,40,43,920-700700-00000-00000-0000-0000-000-000-000-000-000-000
1,AMOR DE COSMOS RIVER,W,1981/1982,UN,0,0,0,0,0,0,0,0,0,0,0,920-700700-00000-00000-0000-0000-000-000-000-000-000-000
1,AMOR DE COSMOS RIVER,W,1982/1983,28,98,198,9,116,0,0,125,0,9,116,125,920-700700-00000-00000-0000-0000-000-000-000-000-000-000
1,AMOR DE COSMOS RIVER,W,1983/1984,17,72,158,17,253,8,13,270,21,25,266,291,920-700700-00000-00000-0000-0000-000-000-000-000-000-000
1,AMOR DE COSMOS RIVER,W,1984/1985,21,69,121,10,177,0,0,187,0,10,177,187,920-700700-00000-00000-0000-0000-000-000-000-000-000-000
1,AMOR DE COSMOS RIVER,W,1985/1986,10,34,44,0,51,0,0,51,0,0,51,51,920-700700-00000-00000-0000-0000-000-000-000-000-000-000
1,AMOR DE COSMOS RIVER,W,1986/1987,16,59,128,0,210,8,38,210,46,8,248,256,920-700700-00000-00000-0000-0000-000-000-000-000-000-000
1,AMOR DE COSMOS RIVER,W,1987/1988,11,49,124,0,186,4,9,186,13,4,195,199,920-700700-00000-00000-0000-0000-000-000-000-000-000-000
1,AMOR DE COSMOS RIVER,W,1988/1989,19,96,370,0,340,15,10,340,25,15,350,365,920-700700-00000-00000-0000-0000-000-000-000-000-000-000
